player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Samad Taylor,SEA,OF/,-26.039292879083877,,,-13.395294141171455,FA,-13.395294141171455,-19.717293510127668,,,,,,,,,8.0,75.677734375,100.593,0.0,0.125,0.11103076487779617,0.203
Ryan Kreidler,DET,SS/,-26.077238643358683,-26.29525256252726,-23.36632396138394,-13.409278137349508,FA,-13.409278137349508,-22.287023326154845,,,,,,,,,21.0,89.61432848478618,106.878,0.04761905,0.28571429,0.15063624722617014,0.241
Luis Peralta,COL,RP/,-13.433393191643713,,-13.429138494774913,,FA,-13.429138494774913,-13.431265843209314,,,99.11958333333335,89.08552083333332,83.33250000000001,,,,0.0,,,,,0.0,
Akil Baddoo,DET,OF/,-26.040008912332706,,,-13.432669760333336,FA,-13.432669760333336,-19.73633933633302,,,,,,,,,12.0,90.32020060221355,108.464,0.0,0.41666667,0.15816564361254373,0.271
Carson McCusker,MIN,OF/,-24.89541708211809,-23.92413635398412,-20.428165448368407,-13.465834242084222,FA,-13.465834242084222,-20.67838828163871,,,,,,,,,2.0,59.809059143066406,66.697,0.0,0.0,0.14804101983706155,0.157
Ildemaro Vargas,ARI,2B/3B/,-21.47062954307654,-20.613816285434435,-17.847261438322523,-13.477248934526841,FA,-13.477248934526841,-18.352239050340085,,,,,,,,,7.0,90.92621721540179,104.859,0.0,0.28571429,0.08074964718385176,0.159
Jerar Encarnacion,SFG,OF/,-19.938180662138876,-19.693849820645788,-16.660814793889873,-13.536665448487827,FA,-13.536665448487827,-17.45737768129059,,,,,,,,,16.0,89.39981079101562,106.914,0.0,0.5625,0.13826332850889725,0.213
Luken Baker,STL,DH/,-26.218461900096187,-24.666586560833576,-21.98772976771133,-13.574024302955394,FA,-13.574024302955394,-21.611700632899122,,,,,,,,,24.0,94.55127970377605,109.511,0.08333333,0.54166667,0.31929694879345777,0.33
Will Robertson,TOR,OF/,-23.301296519764623,-21.94932945991689,-19.23149827363326,-13.612528685377917,FA,-13.612528685377917,-19.523663234673172,,,,,,,,,3.0,92.93597412109375,101.154,0.0,0.66666667,0.1922113597393036,0.175
Liover Peguero,PIT,2B/SS/,-25.440257784664016,-25.71638116414109,-23.1995544645461,-13.616119917663868,FA,-13.616119917663868,-21.993078332753768,,,,,,,,,6.0,92.02058919270833,104.081,0.0,0.66666667,0.25013479590415955,0.202
