name,drafted,fantasypros_rk,fantasypros_rk_top10,nffc_adp,primetime_adp,fantasypros_tier,fantasypros_pos_rank,Note
nick westbrook-ikhine,,274,320.0,252.42,240.86,12,WR99,
devin neal,,275,338.0,245.63,235.07,12,RB81,
noah gray,,276,292.0,244.73,239.31,12,TE34,
spencer rattler,,277,270.0,245.05,,12,QB33,
dallas cowboys,,278,289.0,156.47,156.38,12,DST17,
dallas cowboys,,278,289.0,156.47,238.45,12,DST17,
dallas cowboys,,278,289.0,242.17,156.38,12,DST17,
dallas cowboys,,278,289.0,242.17,238.45,12,DST17,
darren waller,,279,263.0,236.29,238.1,12,TE35,
ty johnson,,280,291.0,253.74,240.14,12,RB82,
antonio gibson,,281,327.0,252.75,240.69,12,RB83,
devin singletary,,282,293.0,252.71,,12,RB84,
tre tucker,,283,276.0,247.16,240.55,12,WR100,
jaxson dart,,284,271.0,232.15,239.97,12,QB34,
elijah mitchell,,285,334.0,249.16,238.62,12,RB85,
jalen nailor,,286,261.0,254.07,,12,WR101,
isaiah davis,,287,299.0,253.97,236.93,12,RB86,
tyler shough,,288,285.0,250.71,,12,QB35,
tyler loop,,289,280.0,,,12,K15,
parker washington,,290,279.0,247.18,,12,WR102,
jason sanders,,291,308.0,,,12,K16,
chicago bears,,292,265.0,238.27,239.83,12,DST18,
chicago bears,,292,265.0,253.14,239.83,12,DST18,
new england patriots,,293,247.0,228.09,226.76,13,DST19,
new england patriots,,293,247.0,253.45,226.76,13,DST19,
emanuel wilson,,294,288.0,243.49,222.62,13,RB87,
will reichard,,295,284.0,,,13,K17,
daniel carlson,,296,301.0,,,13,K18,
troy franklin,,297,224.0,210.45,182.24,13,WR103,
tim patrick,,298,340.0,243.0,240.83,13,WR104,
luke mccaffrey,,299,342.0,246.36,,13,WR105,
arizona cardinals,,300,245.0,214.84,207.52,13,DST20,
arizona cardinals,,300,245.0,214.84,240.86,13,DST20,
arizona cardinals,,300,245.0,250.65,207.52,13,DST20,
arizona cardinals,,300,245.0,250.65,240.86,13,DST20,
ray-ray mccloud,,301,256.0,239.94,237.28,13,WR106,
christian watson,,302,366.0,249.0,239.31,13,WR107,
chris brooks,,303,287.0,249.76,240.69,13,RB88,
cleveland browns,,304,328.0,243.77,,13,DST21,
cleveland browns,,304,328.0,252.71,,13,DST21,
jordan james,,305,336.0,250.27,239.76,13,RB89,
jermaine burton,,306,347.0,242.6,,13,WR108,
noah fant,,307,315.0,254.73,,13,TE36,
taysom hill,,308,344.0,252.82,240.55,13,TE37,
tyler higbee,,309,278.0,248.99,,13,TE38,
terrance ferguson,,310,295.0,252.42,,13,TE39,
tutu atwell,,311,252.0,253.26,240.83,13,WR109,
tez johnson,,312,355.0,244.4,,13,WR110,
phil mafah,,313,353.0,241.79,,13,RB90,
xavier restrepo,,314,418.0,241.71,,13,WR111,
zamir white,,315,305.0,248.42,239.9,13,RB91,
