"ID","Player","Team","Position","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*03btu*","Willi Castro","MIN","2B,3B,SS,OF","ISO","Active","27","3","2nd","38.56","91%","-0.3%"
"*04aqc*","David Bednar","PIT","RP","FLA","Active","30","13","2025","38.23","89%","-1.1%"
"*0597k*","Nick Gonzales","PIT","2B","TSN","Active","25","10","2nd","38.1","47%","-5.5%"
"*03qo0*","Pete Fairbanks","TB","RP","ECH","Active","31","7","2027","38.1","88%","-0.5%"
"*060pm*","Wyatt Langford","TEX","OF","YRK","Active","23","10","2nd","37.96","100%","0%"
"*01gya*","Aroldis Chapman","BOS","RP","RUM","Active","37","14","2nd","37.94","78%","+6.1%"
"*0403o*","Andres Munoz","SEA","RP","MCM","Active","26","8","2028","37.94","98%","-0.1%"
"*041am*","Lucas Erceg","KC","RP","RUM","Active","29","10","2nd","37.94","88%","-0.9%"
"*03bin*","Nestor Cortes Jr.","MIL","SP","LRB","Active","30","6","2026","37.76","87%","-1.4%"
"*02mw6*","Corey Seager","TEX","SS","MFR","Active","30","51","1st","37.76","100%","0%"
"*025he*","George Springer","TOR","OF","CFL","Active","35","18","1st","37.59","90%","-1.4%"
"*04qk8*","CJ Abrams","WSH","SS","RR","Active","24","30","4th","37.35","99%","-0.1%"
"*04azv*","Jake Burger","TEX","1B,3B","MFR","Active","28","6","2026","37.23","99%","-0.1%"
"*02w7p*","Alex Bregman","BOS","3B","RUM","Active","31","34","1st","36.84","99%","0%"
"*02bqh*","Trevor Story","BOS","SS","CFL","Active","32","6","2025","36.73","79%","-2.8%"
"*0648z*","Victor Scott","STL","OF","SML","Active","24","14","1st","36.56","57%","+0.7%"
"*04fhb*","Julio Rodriguez","SEA","OF","SHS","Active","24","30","4th","36.55","100%","0%"
"*03qjy*","Brandon Lowe","TB","2B","SML","Active","30","22","1st","36.41","90%","-1.3%"
"*04y44*","Josh Jung","TEX","3B","FLA","Active","27","8","3rd","36.36","91%","-1.9%"
"*04g7n*","Oswald Peraza","NYY","3B","MFR","Minors","24","8","3rd","36.19","12%","-4.3%"
"*03nri*","Lourdes Gurriel Jr.","ARI","OF","NJ","Active","31","3","2025","36.18","88%","-1.4%"
"*05m49*","Jung Hoo Lee","SF","OF","ISO","Active","26","14","1st","35.98","82%","-2.5%"
"*04auk*","Seranthony Dominguez","BAL","RP","SHS","Active","30","1","1st","35.57","21%","-2.3%"
"*05rat*","James Wood","WSH","OF","MCM","Active","22","10","2nd","35.43","100%","0%"
"*04b02*","Seiya Suzuki","CHC","OF","ISO","Active","30","26","2nd","35.27","99%","-0.2%"
"*05t64*","Felix Bautista","BAL","RP","LRB","Active","29","6","2028","35.19","99%","0%"
"*01vja*","Max Kepler","PHI","OF","MCM","Active","32","1","1st","35.18","34%","-1.2%"
"*02bsw*","Mike Clevinger","CHW","SP","CFL","Active","34","1","2nd","35.07","24%","+1.9%"
"*03di6*","Jordan Romano","PHI","RP","MFR","Active","31","19","1st","34.99","76%","-2.5%"
"*03pje*","Taylor Ward","LAA","OF","SHS","Active","31","24","1st","34.88","95%","-0.4%"
"*021jb*","Ryan Brasier","CHC","RP","KEN","Active","37","1","1st","34.88","5%","-1.6%"
"*04t3y*","Alejandro Kirk","TOR","C","TSN","Active","26","18","2nd","34.72","44%","-2.4%"
"*04ru7*","Miguel Vargas","CHW","3B,OF","CFL","Active","25","8","3rd","34.71","37%","+1.2%"
"*05t6u*","Beau Brieske","DET","SP,RP","LRB","Active","26","5","1st","34.56","27%","+4.1%"
"*0374m*","Tyler Rogers","SF","RP","WEQ","Active","34","7","1st","34.56","31%","-3%"
"*04071*","Isaac Paredes","HOU","3B","YRK","Active","26","6","2028","34.22","98%","-0.2%"
"*04en7*","Garrett Mitchell","MIL","OF","ROX","Active","26","10","2nd","34","77%","-4.1%"
"*050ok*","Yennier Cano","BAL","RP","SHS","Active","31","5","1st","33.9","45%","-4.6%"
"*04ekf*","Calvin Faucher","MIA","RP","SML","Active","29","5","2nd","33.9","34%","-2.6%"
"*02c5l*","Luke Weaver","NYY","RP","TSN","Active","31","5","2nd","33.9","80%","-1.6%"
"*05gbf*","Jordan Walker","STL","OF","FLA","Active","22","10","3rd","33.82","73%","-6.6%"
"*04pkr*","Nico Hoerner","CHC","2B","CFL","Active","27","14","2025","33.48","95%","-1.3%"
"*02mzg*","Max Muncy","LAD","3B","SML","Active","34","33","1st","33.32","97%","-0.1%"
"*04pbp*","Christopher Morel","TB","2B,3B,OF","YRK","Active","25","10","2026","33.32","91%","-1%"
"*04355*","Yordan Alvarez","HOU","OF","YRK","Active","27","30","6th","33.3","100%","0%"
"*05m1e*","Jackson Chourio","MIL","OF","SML","Active","21","10","2nd","32.85","100%","0%"
"*03btm*","Jose Alvarado","PHI","RP","FLA","Active","29","5","2025","32.78","39%","+6.1%"
"*04mrn*","Bo Naylor","CLE","C","CFL","Active","25","8","3rd","32.66","43%","-5.9%"
"*05tc7*","Ryan Bliss","SEA","2B","ISO","Active","25","5","1st","32.53","21%","-2%"
"*0414g*","Luis Garcia Jr.","WSH","2B","ISO","Active","24","7","2nd","32.44","97%","-0.2%"
"*04nx3*","Jonathan India","KC","2B,3B,OF","CFL","Active","28","19","1st","32.41","95%","-0.6%"
"*0317q*","Griffin Jax","MIN","RP","ISO","Active","30","6","1st","32.38","73%","-4%"
"*04mra*","Ezequiel Tovar","COL","SS","MFR","Active","23","6","2025","32.35","98%","-0.5%"
"*025i9*","J.T. Realmuto","PHI","C","MFR","Active","34","19","1st","32.1","95%","-0.8%"
"*02bq2*","Brandon Nimmo","NYM","OF","ECH","Active","32","6","2025","31.98","98%","0%"
"*05t9v*","Jonathan Aranda","TB","1B","ECH","Active","26","8","1st","31.86","54%","-6%"
"*051b4*","Jordan Beck","COL","OF","RUM","Active","23","1","1st","31.61","28%","-5.2%"
"*06fqx*","Seth Halvorsen","COL","RP","KEN","Active","25","5","1st","31.29","31%","-4.5%"
"*01uc9*","Nick Castellanos","PHI","OF","LIL","Active","33","17","1st","31.24","98%","-0.3%"
"*03ann*","Jeff Hoffman","TOR","RP","RUM","Active","32","5","2026","31.08","92%","-0.7%"
"*03zcy*","Mark Vientos","NYM","3B","WEQ","Active","25","10","2nd","30.86","99%","0%"
