"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*066er*","Grant Taylor","CHW","SP,RP","688","YRK","Active","23","8","1st","41.68","-","-"
"*03pzn*","Andres Gimenez","TOR","2B,SS","690","FLA","Active","27","15","2026","41.59","-","-"
"*05un2*","Edgar Quero","CHW","C","693","TSN","Active","22","16","1st","41.42","-","-"
"*05tce*","Connor Norby","MIA","3B","694","MCM","Active","25","8","2nd","41.41","-","-"
"*05rb0*","Jackson Jobe","DET","SP,RP","695","RR","Active","23","10","1st","41.36","-","-"
"*04ni3*","Luis Garcia","HOU","SP","697","MFR","Inj Res","29","11","2026","41.11","-","-"
"*05acp*","Justin Martinez","ARI","RP","701","LEX","Inj Res","24","5","2nd","40.9","-","-"
"*05wxy*","Kyle Teel","CHW","C,OF","702","FLA","Active","23","10","1st","40.88","-","-"
"*06fqx*","Seth Halvorsen","COL","RP","705","KEN","Inj Res","25","5","1st","40.75","-","-"
"*045kb*","Cristian Javier","HOU","SP","707","WEQ","Active","28","12","2026","40.56","-","-"
"*05gef*","Cade Cavalli","WSH","SP","709","SHS","Active","27","8","1st","40.33","-","-"
"*05u9z*","Roman Anthony","BOS","OF","710","TWN","Active","21","10","1st","40.27","-","-"
"*05rav*","Richard Fitts","BOS","SP","711","KEN","Inj Res","26","1","1st","40.16","-","-"
"*04q2n*","Adley Rutschman","BAL","C","713","ROX","Active","27","20","4th","40.08","-","-"
"*04bpj*","Taylor Walls","TB","2B,3B,SS","717","ECH","Active","29","7","1st","39.87","-","-"
"*04up9*","Heriberto Hernandez","MIA","OF","726","YRK","Active","26","5","1st","39.64","-","-"
"*05js3*","Kyle Harrison","SF/BOS","SP,RP","732","LIL","Minors","24","10","2nd","39.36","-","-"
"*05jp4*","Casey Schmitt","SF","1B,2B,3B,SS","733","TWN","Active","26","5","1st","39.32","-","-"
"*03qml*","Dylan Moore","SEA/TEX","1B,2B,3B,SS,OF","734","MFR","Active","33","7","1st","39.04","-","-"
"*03deg*","Justin Steele","CHC","SP","737","MFR","Inj Res","30","6","2027","38.94","-","-"
"*04qnc*","Francisco Alvarez","NYM","C","739","KEN","Active","24","8","3rd","38.9","-","-"
"*03di6*","Jordan Romano","PHI","RP","740","MFR","Active","32","19","1st","38.73","-","-"
